origin,destination,date,count
0,701,2006-09-26,2
0,1239,2006-09-26,1
0,3249,2006-09-26,1
0,3269,2006-09-26,1
0,3462,2006-09-26,3
0,3561,2006-09-26,48
0,3671,2006-09-26,7
0,4544,2006-09-26,1
0,4766,2006-09-26,1
0,5413,2006-09-26,1
0,5617,2006-09-26,375
0,6395,2006-09-26,1
0,6432,2006-09-26,1
0,6461,2006-09-26,1
0,6939,2006-09-26,1
0,7132,2006-09-26,2
0,8560,2006-09-26,2
0,9121,2006-09-26,1
0,9584,2006-09-26,1
0,9800,2006-09-26,1
0,10994,2006-09-26,1
0,13462,2006-09-26,21
0,13749,2006-09-26,2
0,13867,2006-09-26,1
0,14361,2006-09-26,1
0,14912,2006-09-26,1
0,15083,2006-09-26,1
0,15802,2006-09-26,1
0,16805,2006-09-26,1
0,19548,2006-09-26,3184
0,19742,2006-09-26,1
0,21571,2006-09-26,2
0,22047,2006-09-26,1
0,22927,2006-09-26,1
0,24679,2006-09-26,1
0,27357,2006-09-26,1
0,27699,2006-09-26,1
0,28573,2006-09-26,1
0,29096,2006-09-26,2
0,29717,2006-09-26,1
0,36420,2006-09-26,1
2,174,2006-09-26,1
2,1312,2006-09-26,79
2,3561,2006-09-26,11
2,4181,2006-09-26,1
2,4323,2006-09-26,8
2,4760,2006-09-26,2
2,4983,2006-09-26,12
2,5617,2006-09-26,552
2,5650,2006-09-26,153
2,5661,2006-09-26,3
2,7018,2006-09-26,198
2,7065,2006-09-26,29
2,7132,2006-09-26,1
2,7377,2006-09-26,77
2,8167,2006-09-26,724
2,8422,2006-09-26,5
2,9584,2006-09-26,1
2,11414,2006-09-26,38
2,14361,2006-09-26,1
2,14425,2006-09-26,2
2,18530,2006-09-26,1
2,19548,2006-09-26,3045
2,19742,2006-09-26,1
2,19918,2006-09-26,535
2,29096,2006-09-26,3
2,29863,2006-09-26,4
2,30099,2006-09-26,5
2,33650,2006-09-26,23
2,33651,2006-09-26,59
3,3462,2006-09-26,2
3,4134,2006-09-26,2
3,4323,2006-09-26,1
3,8151,2006-09-26,2
3,9584,2006-09-26,1
3,9916,2006-09-26,205
3,11279,2006-09-26,2
3,15169,2006-09-26,3
3,17464,2006-09-26,19
3,17716,2006-09-26,2
3,18566,2006-09-26,5
